Pincode,District,StateName,Region
249126,TEHRI GARHWAL,Uttarakhand,North
249127,TEHRI GARHWAL,Uttarakhand,North
249128,UTTARKASHI,Uttarakhand,North
249130,TEHRI GARHWAL,Uttarakhand,North
249131,TEHRI GARHWAL,Uttarakhand,North
249132,TEHRI GARHWAL,Uttarakhand,North
249135,UTTARKASHI,Uttarakhand,North
249136,UTTARKASHI,Uttarakhand,North
249137,TEHRI GARHWAL,Uttarakhand,North
249141,UTTARKASHI,Uttarakhand,North
249145,TEHRI GARHWAL,Uttarakhand,North
249146,TEHRI GARHWAL,Uttarakhand,North
249151,UTTARKASHI,Uttarakhand,North
249152,UTTARKASHI,Uttarakhand,North
249155,TEHRI GARHWAL,Uttarakhand,North
249161,TEHRI GARHWAL,Uttarakhand,North
249165,UTTARKASHI,Uttarakhand,North
249171,UTTARKASHI,Uttarakhand,North
249175,TEHRI GARHWAL,Uttarakhand,North
249180,TEHRI GARHWAL,Uttarakhand,North
249181,TEHRI GARHWAL,Uttarakhand,North
249185,UTTARKASHI,Uttarakhand,North
249186,TEHRI GARHWAL,Uttarakhand,North
249192,TEHRI GARHWAL,Uttarakhand,North
249193,UTTARKASHI,Uttarakhand,North
249194,UTTARKASHI,Uttarakhand,North
249195,UTTARKASHI,Uttarakhand,North
249196,UTTARKASHI,Uttarakhand,North
249199,TEHRI GARHWAL,Uttarakhand,North
249201,DEHRADUN,Uttarakhand,North
249202,DEHRADUN,Uttarakhand,North
249203,DEHRADUN,Uttarakhand,North
249204,DEHRADUN,Uttarakhand,North
249205,DEHRADUN,Uttarakhand,North
249301,PAURI GARHWAL,Uttarakhand,North
249302,PAURI GARHWAL,Uttarakhand,North
249304,PAURI GARHWAL,Uttarakhand,North
249306,PAURI GARHWAL,Uttarakhand,North
249401,HARIDWAR,Uttarakhand,North
249402,HARIDWAR,Uttarakhand,North
249403,HARIDWAR,Uttarakhand,North
249404,HARIDWAR,Uttarakhand,North
249405,HARIDWAR,Uttarakhand,North
249407,HARIDWAR,Uttarakhand,North
249408,HARIDWAR,Uttarakhand,North
249410,HARIDWAR,Uttarakhand,North
249411,HARIDWAR,Uttarakhand,North
250001,MEERUT,Uttar Pradesh,North
250002,MEERUT,Uttar Pradesh,North
250003,MEERUT,Uttar Pradesh,North
250004,MEERUT,Uttar Pradesh,North
250005,MEERUT,Uttar Pradesh,North
250101,BAGPAT,Uttar Pradesh,North
250103,MEERUT,Uttar Pradesh,North
250104,MEERUT,Uttar Pradesh,North
250106,MEERUT,Uttar Pradesh,North
250110,MEERUT,Uttar Pradesh,North
250205,MEERUT,Uttar Pradesh,North
250221,MEERUT,Uttar Pradesh,North
250222,MEERUT,Uttar Pradesh,North
250223,MEERUT,Uttar Pradesh,North
250341,MEERUT,Uttar Pradesh,North
250342,MEERUT,Uttar Pradesh,North
250344,MEERUT,Uttar Pradesh,North
250345,BAGPAT,Uttar Pradesh,North
250401,MEERUT,Uttar Pradesh,North
250402,MEERUT,Uttar Pradesh,North
250404,MEERUT,Uttar Pradesh,North
250406,MEERUT,Uttar Pradesh,North
250501,MEERUT,Uttar Pradesh,North
250502,MEERUT,Uttar Pradesh,North
250601,BAGPAT,Uttar Pradesh,North
250606,BAGPAT,Uttar Pradesh,North
250609,BAGPAT,Uttar Pradesh,North
250611,BAGPAT,Uttar Pradesh,North
250615,BAGPAT,Uttar Pradesh,North
250617,BAGPAT,Uttar Pradesh,North
250619,BAGPAT,Uttar Pradesh,North
250620,BAGPAT,Uttar Pradesh,North
250621,BAGPAT,Uttar Pradesh,North
250622,BAGPAT,Uttar Pradesh,North
250623,BAGPAT,Uttar Pradesh,North
250625,BAGPAT,Uttar Pradesh,North
250626,BAGPAT,Uttar Pradesh,North
251001,MUZAFFARNAGAR,Uttar Pradesh,North
251002,MUZAFFARNAGAR,Uttar Pradesh,North
251003,MUZAFFARNAGAR,Uttar Pradesh,North
251201,MUZAFFARNAGAR,Uttar Pradesh,North
251202,MUZAFFARNAGAR,Uttar Pradesh,North
251203,MUZAFFARNAGAR,Uttar Pradesh,North
251301,MUZAFFARNAGAR,Uttar Pradesh,North
251305,MUZAFFARNAGAR,Uttar Pradesh,North
251306,MUZAFFARNAGAR,Uttar Pradesh,North
251307,MUZAFFARNAGAR,Uttar Pradesh,North
251308,MUZAFFARNAGAR,Uttar Pradesh,North
251309,MUZAFFARNAGAR,Uttar Pradesh,North
251310,MUZAFFARNAGAR,Uttar Pradesh,North
251311,MUZAFFARNAGAR,Uttar Pradesh,North
251314,MUZAFFARNAGAR,Uttar Pradesh,North
251315,MUZAFFARNAGAR,Uttar Pradesh,North
251316,MUZAFFARNAGAR,Uttar Pradesh,North
251318,MUZAFFARNAGAR,Uttar Pradesh,North
251319,MUZAFFARNAGAR,Uttar Pradesh,North
251320,MUZAFFARNAGAR,Uttar Pradesh,North
251327,MUZAFFARNAGAR,Uttar Pradesh,North
261001,SITAPUR,Uttar Pradesh,North
261121,SITAPUR,Uttar Pradesh,North
261125,SITAPUR,Uttar Pradesh,North
261131,SITAPUR,Uttar Pradesh,North
261135,SITAPUR,Uttar Pradesh,North
261136,SITAPUR,Uttar Pradesh,North
261141,SITAPUR,Uttar Pradesh,North
261145,SITAPUR,Uttar Pradesh,North
261151,SITAPUR,Uttar Pradesh,North
261201,SITAPUR,Uttar Pradesh,North
261202,SITAPUR,Uttar Pradesh,North
261203,SITAPUR,Uttar Pradesh,North
261204,SITAPUR,Uttar Pradesh,North
261205,SITAPUR,Uttar Pradesh,North
261206,SITAPUR,Uttar Pradesh,North
261207,SITAPUR,Uttar Pradesh,North
261208,SITAPUR,Uttar Pradesh,North
261301,SITAPUR,Uttar Pradesh,North
261302,SITAPUR,Uttar Pradesh,North
261303,SITAPUR,Uttar Pradesh,North
261401,SITAPUR,Uttar Pradesh,North
261402,SITAPUR,Uttar Pradesh,North
261403,SITAPUR,Uttar Pradesh,North
261404,SITAPUR,Uttar Pradesh,North
261405,SITAPUR,Uttar Pradesh,North
261501,KHERI,Uttar Pradesh,North
261502,KHERI,Uttar Pradesh,North
261505,KHERI,Uttar Pradesh,North
261506,KHERI,Uttar Pradesh,North
262001,PILIBHIT,Uttar Pradesh,North
262121,PILIBHIT,Uttar Pradesh,North
262122,PILIBHIT,Uttar Pradesh,North
262124,PILIBHIT,Uttar Pradesh,North
262201,PILIBHIT,Uttar Pradesh,North
262202,PILIBHIT,Uttar Pradesh,North
262203,PILIBHIT,Uttar Pradesh,North
262302,PILIBHIT,Uttar Pradesh,North
262305,PILIBHIT,Uttar Pradesh,North
262308,NAINITAL,Uttarakhand,North
