Pincode,District,StateName,Region
211004,ALLAHABAD,Uttar Pradesh,North
211005,ALLAHABAD,Uttar Pradesh,North
211006,ALLAHABAD,Uttar Pradesh,North
211007,ALLAHABAD,Uttar Pradesh,North
211008,ALLAHABAD,Uttar Pradesh,North
211010,ALLAHABAD,Uttar Pradesh,North
211011,ALLAHABAD,Uttar Pradesh,North
211012,ALLAHABAD,Uttar Pradesh,North
211013,ALLAHABAD,Uttar Pradesh,North
211014,ALLAHABAD,Uttar Pradesh,North
211015,ALLAHABAD,Uttar Pradesh,North
211016,ALLAHABAD,Uttar Pradesh,North
211017,ALLAHABAD,Uttar Pradesh,North
211018,ALLAHABAD,Uttar Pradesh,North
211019,ALLAHABAD,Uttar Pradesh,North
211020,Prayagraj Allahabad,Uttar Pradesh,North
211021,ALLAHABAD,Uttar Pradesh,North
211022,ALLAHABAD,Uttar Pradesh,North
212104,ALLAHABAD,Uttar Pradesh,North
212105,ALLAHABAD,Uttar Pradesh,North
212106,ALLAHABAD,Uttar Pradesh,North
212107,ALLAHABAD,Uttar Pradesh,North
212108,ALLAHABAD,Uttar Pradesh,North
212109,ALLAHABAD,Uttar Pradesh,North
212111,ALLAHABAD,Uttar Pradesh,North
212201,ALLAHABAD,Uttar Pradesh,North
212202,KAUSHAMBI,Uttar Pradesh,North
212203,KAUSHAMBI,Uttar Pradesh,North
212204,KAUSHAMBI,Uttar Pradesh,North
212205,KAUSHAMBI,Uttar Pradesh,North
212206,ALLAHABAD,Uttar Pradesh,North
212207,KAUSHAMBI,Uttar Pradesh,North
212208,KAUSHAMBI,Uttar Pradesh,North
212212,ALLAHABAD,Uttar Pradesh,North
212213,KAUSHAMBI,Uttar Pradesh,North
212214,KAUSHAMBI,Uttar Pradesh,North
212216,KAUSHAMBI,Uttar Pradesh,North
212217,KAUSHAMBI,Uttar Pradesh,North
212218,KAUSHAMBI,Uttar Pradesh,North
212301,ALLAHABAD,Uttar Pradesh,North
212302,ALLAHABAD,Uttar Pradesh,North
212303,ALLAHABAD,Uttar Pradesh,North
212305,ALLAHABAD,Uttar Pradesh,North
